Food,Grams,Protein,Fat,Carbs,Healthiness_Score
Pineapple,100,0.0,0.0,21.311475409836063,5.327868852459016
Pineapple Crushed,100,0.38461538461538464,0.0,21.153846153846153,5.576923076923077
"Raw, diced",100,0.7142857142857143,0.0,13.571428571428571,3.9285714285714284
Pineapple juice,100,0.4,0.0,12.8,3.5
Plums,100,0.390625,0.0,19.53125,5.17578125
"Raw, 2"" diameter",100,0.0,0.0,11.666666666666666,2.9166666666666665
Prunes,100,1.1111111111111112,0.3703703703703704,30.0,8.148148148148149
Prune juice,100,0.4166666666666667,0.0,18.75,5.0
Raisins,100,2.272727272727273,0.0,93.18181818181817,24.999999999999996
Raspberries,100,0.0,0.0,25.0,6.25
"Raw, red",100,0.0,0.0,14.000000000000002,3.5000000000000004
Rhubarb sweetened,100,0.3703703703703704,0.0,36.2962962962963,9.351851851851853
Strawberries,100,0.4405286343612335,0.0,26.431718061674008,6.938325991189427
Raw,100,0.0,0.0,8.053691275167784,2.013422818791946
Tangerines,100,0.8771929824561403,0.0,8.771929824561402,2.850877192982456
Watermelon,100,0.21621621621621623,0.10810810810810811,3.135135135135135,0.8918918918918919
Biscuits,100,7.894736842105263,10.526315789473683,47.368421052631575,12.5
Bran flakes,100,12.0,0.0,128.0,41.0
"Bread, cracked wheat",100,8.695652173913043,4.3478260869565215,52.17391304347826,17.391304347826086
Rye,100,8.695652173913043,4.3478260869565215,52.17391304347826,17.391304347826086
"White, 20 slices, or",100,8.590308370044053,3.303964757709251,50.440528634361236,17.400881057268723
Whole-wheat,100,10.572687224669604,3.0837004405286343,47.57709251101321,18.28193832599119
Whole-wheat,100,8.695652173913043,4.3478260869565215,47.82608695652174,16.304347826086957
Corn bread ground meal,100,6.0,8.0,30.0,8.0
Cornflakes,100,8.0,0.0,100.0,31.0
Corn grits cooked,100,3.3057851239669422,0.0,11.15702479338843,5.268595041322314
Corn meal,100,7.627118644067797,3.389830508474576,62.71186440677966,19.703389830508478
Crackers,100,7.142857142857142,7.142857142857142,71.42857142857143,19.642857142857146
"Soda, 2 1/2 square",100,9.090909090909092,9.090909090909092,72.72727272727273,20.454545454545453
Farina,100,1.2605042016806722,0.0,9.243697478991598,3.2563025210084033
Flour,100,35.45454545454545,20.0,30.0,24.090909090909093
Wheat (all purpose),100,10.909090909090908,0.9090909090909091,76.36363636363637,26.81818181818182
Wheat (whole),100,10.833333333333334,1.6666666666666667,65.83333333333333,23.75
Macaroni,100,3.571428571428571,0.7142857142857143,22.857142857142858,8.035714285714285
Baked with cheese,100,8.181818181818182,11.363636363636363,20.0,5.454545454545455
Muffins,100,8.333333333333332,10.416666666666668,39.58333333333333,10.937499999999998
Noodles,100,4.375,1.25,23.125,8.4375
Oatmeal,100,2.11864406779661,1.2711864406779663,11.016949152542372,3.707627118644067
"Pancakes 4"" diam.",100,6.481481481481481,8.333333333333332,25.925925925925924,7.175925925925926
"Wheat, pancakes 4"" diam.",100,6.481481481481481,8.333333333333332,25.925925925925924,7.175925925925926
"Pizza 14"" diam.",100,10.666666666666668,8.0,30.666666666666664,11.666666666666666
Popcorn salted,100,10.714285714285714,25.0,71.42857142857143,13.392857142857142
Puffed rice,100,0.0,0.0,85.71428571428571,21.428571428571427
Puffed wheat presweetened,100,3.571428571428571,0.0,92.85714285714286,25.892857142857142
Rice,100,7.211538461538461,1.4423076923076923,74.03846153846155,23.197115384615387
Converted,100,7.4866310160427805,0.0,75.93582887700535,24.598930481283425
White,100,7.329842931937172,0.0,78.53403141361257,25.130890052356023
Rice flakes,100,6.666666666666667,0.0,86.66666666666667,26.666666666666668
Rice polish,100,12.0,12.0,56.00000000000001,17.0
Rolls,100,6.0,24.0,46.0,4.0
of refined flour,100,7.894736842105263,5.263157894736842,52.63157894736842,16.44736842105263
whole-wheat,100,10.0,2.5,50.0,18.75
Spaghetti with meat sauce,100,5.2,4.0,14.000000000000002,5.4
with tomatoes and cheese,100,2.4,2.0,14.399999999999999,4.3999999999999995
Spanish rice,100,1.6,1.6,16.0,4.4
Shredded wheat biscuit,100,10.714285714285714,3.571428571428571,82.14285714285714,26.785714285714285
Waffles,100,10.666666666666668,12.0,40.0,12.0
Wheat germ,100,25.0,10.294117647058822,50.0,26.102941176470587
Wheat-germ cereal toasted,100,30.76923076923077,10.76923076923077,55.38461538461539,31.538461538461533
Wheat meal cereal unrefined,100,13.333333333333334,3.3333333333333335,83.33333333333334,29.166666666666668
"Wheat, cooked",100,6.0,0.5,17.5,8.625
Bean soups,100,3.2,2.0,12.0,4.4
Beef soup,100,2.4,1.6,4.3999999999999995,2.0999999999999996
Bouillon,100,2.083333333333333,0.0,0.0,1.5624999999999998
chicken soup,100,1.6,0.8,4.0,1.8000000000000003
Clam chowder,100,1.9607843137254901,0.7843137254901961,4.705882352941177,2.2549019607843137
Cream soups,100,2.7450980392156863,4.705882352941177,7.0588235294117645,1.4705882352941173
Noodle,100,2.4,1.6,5.2,2.3
Split-pea soup,100,3.2,1.2,10.0,4.300000000000001
Tomato soup,100,2.4489795918367347,2.857142857142857,8.979591836734693,2.6530612244897958
Vegetable,100,1.6,0.8,5.6000000000000005,2.2000000000000006
Apple betty,100,1.0,4.0,28.999999999999996,5.999999999999999
Bread pudding,100,5.5,6.0,28.000000000000004,8.125
Cakes,100,7.5,0.0,57.49999999999999,20.0
Chocolate fudge,100,4.166666666666666,11.666666666666666,58.333333333333336,11.875
Cupcake,100,6.0,6.0,62.0,17.0
Fruit cake,100,6.666666666666667,13.333333333333334,56.666666666666664,12.499999999999996
